Company Name,Company URL,Project No.,Project Location,Project URL
1 LAND DEVELOPMENT SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/11689,1,"1. LOT 3 (PT 970 - PT 987), SELANGOR",https://teduh.kpkt.gov.my/project-swasta/11689-1
1 LAND DEVELOPMENT SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/11689,2,"2. TAMAN SERI BUNUT BANTING, SELANGOR",https://teduh.kpkt.gov.my/project-swasta/11689-2
168 PARK SELAYANG  SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/30300,1,"1. 168 PARK SELAYANG, SELANGOR",https://teduh.kpkt.gov.my/project-swasta/30300-1
168 PARK SELAYANG  SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/30300,2,"2. 168 PARK SELAYANG, SELANGOR",https://teduh.kpkt.gov.my/project-swasta/30300-2
1ST MALS DEVELOPMENT (M) SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/13828,1,"1. TAMAN DESA PERMAI, SELANGOR",https://teduh.kpkt.gov.my/project-swasta/13828-1
1ST MALS DEVELOPMENT (M) SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/13828,2,"2. TAMAN DESA PERMAI, SELANGOR",https://teduh.kpkt.gov.my/project-swasta/13828-2
368 SEGAMBUT SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/19221,1,"1. RIANA DUTAMAS, WP KUALA LUMPUR",https://teduh.kpkt.gov.my/project-swasta/19221-1
368 SEGAMBUT SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/19221,2,"2. SAVVY @ RIANA DUTAMAS, WP KUALA LUMPUR",https://teduh.kpkt.gov.my/project-swasta/19221-2
5 HUP DEVELOPMENT SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/13927,1,"1. 5 HUP DEVELOPMENT SDN BHD, SELANGOR",https://teduh.kpkt.gov.my/project-swasta/13927-1
5 HUP DEVELOPMENT SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/13927,2,"3. 5 HUP DEVELOPMENT SDN BHD, SELANGOR",https://teduh.kpkt.gov.my/project-swasta/13927-3
5 HUP DEVELOPMENT SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/13927,3,"2. 5 HUP DEVELOPMENT SDN. BHD., PAHANG",https://teduh.kpkt.gov.my/project-swasta/13927-2
5 HUP DEVELOPMENT SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/13927,4,"4. TAMAN MAWAR INDAH, PAHANG",https://teduh.kpkt.gov.my/project-swasta/13927-4
555 PROPERTY SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/20158,1,"1. TAMAN BENTARA, SELANGOR",https://teduh.kpkt.gov.my/project-swasta/20158-1
555 PROPERTY SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/20158,2,"2. TAMAN SATRIA, SELANGOR",https://teduh.kpkt.gov.my/project-swasta/20158-2
737 DEVELOPMENT SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/14694,1,"1. RESIDENSI GEMBIRA 737, WP KUALA LUMPUR",https://teduh.kpkt.gov.my/project-swasta/14694-1
99 DEVELOPMENT SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/9509,1,"1. TAMAN BUKIT NAGA, SELANGOR",https://teduh.kpkt.gov.my/project-swasta/9509-1
99 DEVELOPMENT SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/9509,2,"3. 99 DEVELOPMENT SDN BHD, SELANGOR",https://teduh.kpkt.gov.my/project-swasta/9509-3
99 DEVELOPMENT SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/9509,3,"5. TAMAN MERU MULIA, SELANGOR",https://teduh.kpkt.gov.my/project-swasta/9509-6
99 DEVELOPMENT SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/9509,4,"7. 99 DEVELOPMENT SDN. BHD., SELANGOR",https://teduh.kpkt.gov.my/project-swasta/9509-5
99 DEVELOPMENT SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/9509,5,"2. LOT 3756, SHAH ALAM, SELANGOR",https://teduh.kpkt.gov.my/project-swasta/9509-2
99 DEVELOPMENT SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/9509,6,"4. TAMAN HIJJAZ MULIA 2, SELANGOR",https://teduh.kpkt.gov.my/project-swasta/9509-4
99 DEVELOPMENT SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/9509,7,"6. TAMAN MERU MULIA, SELANGOR",https://teduh.kpkt.gov.my/project-swasta/9509-7
128 ARA DAMANSARA SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/13366,1,"1. MAISSON, SELANGOR",https://teduh.kpkt.gov.my/project-swasta/13366-1
19 DEVELOPMENT SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/30053,0,NULL,NULL
2WINS PROPERTIES SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/19574,1,"1. 2WINS PROPERTIES SDN. BHD., KEDAH",https://teduh.kpkt.gov.my/project-swasta/19574-1
4 SEGI SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/19223,1,"1. LAMAN LESTARI, SELANGOR",https://teduh.kpkt.gov.my/project-swasta/19223-1
4 SEGI SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/19223,2,"2. DESA INDAH, SELANGOR",https://teduh.kpkt.gov.my/project-swasta/19223-2
51G DEVELOPMENT SDN. BHD.,https://teduh.kpkt.gov.my/developer-swasta/10632,1,"1. KONDOMINIUM 51G KUALA LUMPUR, WP KUALA LUMPUR",https://teduh.kpkt.gov.my/project-swasta/10632-1
